Coordinates,:LABEL,nid:ID
"-6284.774211524097,-2848.680885694742,-1471.233254059739",IfcCartesianPoint,407
"7202.096567607798,3452.639254173511,-971.7632653710507",IfcCartesianPoint,408
"9498.841122964823,224.7123438181309,-3267.931311298962",IfcCartesianPoint,409
"-6295.157527841958,-2752.436967857323,-1463.973347968411",IfcCartesianPoint,410
"-7784.933344369483,-1170.0309309693,-2054.595753543299",IfcCartesianPoint,411
"1052.647098186857,9184.117849470065,-2810.423645221747",IfcCartesianPoint,412
"1068.903393242248,9184.14668857668,-2811.345219959778",IfcCartesianPoint,413
"9494.559265129417,993.2762630706638,-3275.075034035102",IfcCartesianPoint,414
"8182.927818726817,3251.873112671791,-1665.825439135781",IfcCartesianPoint,415
"-2962.607548667244,-4456.815557664827,-1183.51418356944",IfcCartesianPoint,416
"-1499.776709887425,-6202.645063069373,-1807.000964805932",IfcCartesianPoint,417
"5326.581739919058,6368.064295679737,-1183.458033249248",IfcCartesianPoint,418
"4023.452905615706,6474.102497474668,-918.8819845469561",IfcCartesianPoint,419
"5390.417524261078,5994.579720120949,-1025.020158419963",IfcCartesianPoint,420
"-4785.162528288024,-2781.001772612225,-1106.916843439344",IfcCartesianPoint,421
"8793.163374278269,3078.349113075524,-2350.051976313672",IfcCartesianPoint,422
"-4794.352381664109,-2683.531462018158,-1097.633266495942",IfcCartesianPoint,423
"-6431.194304833876,-1049.937522369863,-1413.169391372837",IfcCartesianPoint,424
"6846.788961910479,6157.374054531589,-1800.873599200039",IfcCartesianPoint,425
"1087.601313912352,-8036.090709547896,-3280.960898024209",IfcCartesianPoint,426
"1071.068207705757,-8036.042504861049,-3279.558426532433",IfcCartesianPoint,427
"6912.293565784621,5782.145962145848,-1629.724401257115",IfcCartesianPoint,428
"9450.02250554381,2823.70001764972,-3461.79050033147",IfcCartesianPoint,429
"-7827.768198568995,496.776695313413,-2162.919766565288",IfcCartesianPoint,430
"-1613.884512184928,-4438.108401777292,-1079.488319755687",IfcCartesianPoint,431
"-7818.025561061229,1291.582288488878,-2241.665130473522",IfcCartesianPoint,432
"-9069.583795462997,1049.731003437688,-3546.422457313766",IfcCartesianPoint,433
"-9076.11524899625,278.2410975183119,-3423.930155171133",IfcCartesianPoint,434
"-3106.759350053328,-2729.786790131878,-865.1242301901493",IfcCartesianPoint,435
"4848.250800018059,8409.69503304186,-2641.28037958415",IfcCartesianPoint,436
"3618.953319135542,8488.968708127359,-2301.740573778139",IfcCartesianPoint,437
"3724.16237035288,8063.978244731834,-1891.207208467525",IfcCartesianPoint,438
"4972.66315057889,7974.817464138516,-2217.545482806155",IfcCartesianPoint,439
"7869.965974328552,5940.155498752352,-2517.939339478144",IfcCartesianPoint,440
"7927.663702483838,5563.212125478634,-2345.486996097638",IfcCartesianPoint,441
"-3113.30991273412,-2631.324367772404,-854.2196356837485",IfcCartesianPoint,442
"4617.769437921957,9089.348031004787,-3506.438708412017",IfcCartesianPoint,443
"3424.047224040474,9145.607193501044,-3154.537610783674",IfcCartesianPoint,444
"-4914.753031710804,-956.7925520218718,-1013.27743375702",IfcCartesianPoint,445
"8537.981382391608,5751.998364807755,-3186.973285287669",IfcCartesianPoint,446
"8585.026801702421,5373.606770930089,-3019.589803711304",IfcCartesianPoint,447
"1206.286875229969,-6198.598724424315,-1828.289119378182",IfcCartesianPoint,448
"1187.996702692897,-6198.527463520788,-1827.461641801985",IfcCartesianPoint,449
"6355.953311312283,8251.826327355006,-3300.829550062325",IfcCartesianPoint,450
"6483.618097208451,7797.31657112884,-2875.360577304796",IfcCartesianPoint,451
"-6476.488135744128,651.3792806345143,-1464.59588473053",IfcCartesianPoint,452
"9300.865427199598,5475.417284813833,-4233.499450457706",IfcCartesianPoint,453
"-1695.890145871657,-2702.044784957994,-729.9864132831212",IfcCartesianPoint,454
"9328.364065492991,5094.938411092524,-4081.14567616898",IfcCartesianPoint,455
"7550.078018578781,7614.110727517564,-3575.651786024994",IfcCartesianPoint,456
"-6466.186212598988,1462.943545642832,-1514.07249682721",IfcCartesianPoint,457
"6119.446617142316,8977.27165206471,-4151.679444165668",IfcCartesianPoint,458
"-1699.616655276866,-2602.986503741215,-717.6050020180614",IfcCartesianPoint,459
"7437.628394033418,8088.8533860894,-3985.464483918845",IfcCartesianPoint,460
"8185.463122156747,7947.587288534576,-4586.399495692382",IfcCartesianPoint,461
"8277.151996350232,7455.322133967976,-4199.383695035738",IfcCartesianPoint,462
"-7716.689757517002,3177.110540570359,-2496.754242808731",IfcCartesianPoint,463
"7229.308701369631,8861.548068513266,-4793.755529909673",IfcCartesianPoint,464
"-3199.131957184962,-884.9096620216446,-743.3220937032884",IfcCartesianPoint,465
"8015.603968158692,8761.2273124477,-5343.019304163617",IfcCartesianPoint,466
"-4954.840769786394,772.1844979580236,-1026.65817071015",IfcCartesianPoint,467
"1279.017057565156,-4428.304366814959,-994.7214841037676",IfcCartesianPoint,468
"9094.814077843526,7739.826225368005,-5483.696111104255",IfcCartesianPoint,469
"9148.407376062802,7221.8077588435,-5141.57313211194",IfcCartesianPoint,470
"8995.5292695659,8613.672999588618,-6146.022649150069",IfcCartesianPoint,471
"1298.674978835777,-4428.379034568397,-994.8129703175655",IfcCartesianPoint,472
"-8816.073224677772,5159.005338312351,-4424.96778126086",IfcCartesianPoint,473
"-9001.648383560783,2886.181679862164,-3890.588942830611",IfcCartesianPoint,474
"-8349.17024919735,-8139.486616037496,-3697.065508836987",IfcCartesianPoint,475
"-9168.428399644046,-8162.239830920421,-3909.001810942849",IfcCartesianPoint,476
"-8197.917532921145,-9054.721570465548,-4015.348808500033",IfcCartesianPoint,477
"4679.855399633807,-8065.621578951471,-3789.098448704009",IfcCartesianPoint,478
"3476.55009128938,-8051.396878962379,-3567.205790259034",IfcCartesianPoint,479
