nid:ID,:LABEL
2089,IfcPolyLoop
2092,IfcPolyLoop
2095,IfcPolyLoop
2098,IfcPolyLoop
2101,IfcPolyLoop
2104,IfcPolyLoop
2107,IfcPolyLoop
2110,IfcPolyLoop
2113,IfcPolyLoop
2116,IfcPolyLoop
2119,IfcPolyLoop
2122,IfcPolyLoop
2125,IfcPolyLoop
2128,IfcPolyLoop
2131,IfcPolyLoop
2134,IfcPolyLoop
2137,IfcPolyLoop
2140,IfcPolyLoop
2143,IfcPolyLoop
2146,IfcPolyLoop
2149,IfcPolyLoop
2152,IfcPolyLoop
2155,IfcPolyLoop
2158,IfcPolyLoop
2161,IfcPolyLoop
2164,IfcPolyLoop
2167,IfcPolyLoop
2170,IfcPolyLoop
2173,IfcPolyLoop
2176,IfcPolyLoop
2179,IfcPolyLoop
2182,IfcPolyLoop
2185,IfcPolyLoop
2188,IfcPolyLoop
2191,IfcPolyLoop
2194,IfcPolyLoop
2197,IfcPolyLoop
2200,IfcPolyLoop
2203,IfcPolyLoop
2206,IfcPolyLoop
2209,IfcPolyLoop
2212,IfcPolyLoop
2215,IfcPolyLoop
2218,IfcPolyLoop
2221,IfcPolyLoop
2224,IfcPolyLoop
2227,IfcPolyLoop
2230,IfcPolyLoop
2233,IfcPolyLoop
2236,IfcPolyLoop
2239,IfcPolyLoop
2242,IfcPolyLoop
2245,IfcPolyLoop
2248,IfcPolyLoop
2251,IfcPolyLoop
2254,IfcPolyLoop
2257,IfcPolyLoop
2260,IfcPolyLoop
2263,IfcPolyLoop
2266,IfcPolyLoop
2269,IfcPolyLoop
2272,IfcPolyLoop
2275,IfcPolyLoop
2278,IfcPolyLoop
2281,IfcPolyLoop
2284,IfcPolyLoop
2287,IfcPolyLoop
2290,IfcPolyLoop
2293,IfcPolyLoop
2296,IfcPolyLoop
2299,IfcPolyLoop
2302,IfcPolyLoop
2305,IfcPolyLoop
2308,IfcPolyLoop
2311,IfcPolyLoop
2314,IfcPolyLoop
2317,IfcPolyLoop
