Orientation,nid:ID,:LABEL
True,1805,IfcFaceOuterBound
True,1808,IfcFaceOuterBound
True,1811,IfcFaceOuterBound
True,1814,IfcFaceOuterBound
True,1817,IfcFaceOuterBound
True,1820,IfcFaceOuterBound
True,1823,IfcFaceOuterBound
True,1826,IfcFaceOuterBound
True,1829,IfcFaceOuterBound
True,1832,IfcFaceOuterBound
True,1835,IfcFaceOuterBound
True,1838,IfcFaceOuterBound
True,1841,IfcFaceOuterBound
True,1844,IfcFaceOuterBound
True,1847,IfcFaceOuterBound
True,1850,IfcFaceOuterBound
True,1853,IfcFaceOuterBound
True,1856,IfcFaceOuterBound
True,1859,IfcFaceOuterBound
True,1862,IfcFaceOuterBound
True,1865,IfcFaceOuterBound
True,1868,IfcFaceOuterBound
True,1871,IfcFaceOuterBound
True,1874,IfcFaceOuterBound
True,1877,IfcFaceOuterBound
True,1880,IfcFaceOuterBound
True,1883,IfcFaceOuterBound
True,1886,IfcFaceOuterBound
True,1889,IfcFaceOuterBound
True,1892,IfcFaceOuterBound
True,1895,IfcFaceOuterBound
True,1898,IfcFaceOuterBound
True,1901,IfcFaceOuterBound
True,1904,IfcFaceOuterBound
True,1907,IfcFaceOuterBound
True,1910,IfcFaceOuterBound
True,1913,IfcFaceOuterBound
True,1916,IfcFaceOuterBound
True,1919,IfcFaceOuterBound
True,1922,IfcFaceOuterBound
True,1925,IfcFaceOuterBound
True,1928,IfcFaceOuterBound
True,1931,IfcFaceOuterBound
True,1934,IfcFaceOuterBound
True,1937,IfcFaceOuterBound
True,1940,IfcFaceOuterBound
True,1943,IfcFaceOuterBound
True,1946,IfcFaceOuterBound
True,1949,IfcFaceOuterBound
True,1952,IfcFaceOuterBound
True,1955,IfcFaceOuterBound
True,1958,IfcFaceOuterBound
True,1961,IfcFaceOuterBound
True,1964,IfcFaceOuterBound
True,1967,IfcFaceOuterBound
True,1970,IfcFaceOuterBound
True,1973,IfcFaceOuterBound
True,1976,IfcFaceOuterBound
True,1979,IfcFaceOuterBound
True,1982,IfcFaceOuterBound
True,1985,IfcFaceOuterBound
True,1988,IfcFaceOuterBound
True,1991,IfcFaceOuterBound
True,1994,IfcFaceOuterBound
True,1997,IfcFaceOuterBound
True,2000,IfcFaceOuterBound
True,2003,IfcFaceOuterBound
True,2006,IfcFaceOuterBound
True,2009,IfcFaceOuterBound
True,2012,IfcFaceOuterBound
True,2015,IfcFaceOuterBound
True,2018,IfcFaceOuterBound
True,2021,IfcFaceOuterBound
True,2024,IfcFaceOuterBound
True,2027,IfcFaceOuterBound
True,2030,IfcFaceOuterBound
True,2033,IfcFaceOuterBound
True,2036,IfcFaceOuterBound
True,2039,IfcFaceOuterBound
True,2042,IfcFaceOuterBound
True,2045,IfcFaceOuterBound
True,2048,IfcFaceOuterBound
True,2051,IfcFaceOuterBound
True,2054,IfcFaceOuterBound
True,2057,IfcFaceOuterBound
True,2060,IfcFaceOuterBound
True,2063,IfcFaceOuterBound
True,2066,IfcFaceOuterBound
True,2069,IfcFaceOuterBound
True,2072,IfcFaceOuterBound
True,2075,IfcFaceOuterBound
True,2078,IfcFaceOuterBound
True,2081,IfcFaceOuterBound
True,2084,IfcFaceOuterBound
True,2087,IfcFaceOuterBound
True,2090,IfcFaceOuterBound
True,2093,IfcFaceOuterBound
True,2096,IfcFaceOuterBound
True,2099,IfcFaceOuterBound
True,2102,IfcFaceOuterBound
True,2105,IfcFaceOuterBound
True,2108,IfcFaceOuterBound
True,2111,IfcFaceOuterBound
True,2114,IfcFaceOuterBound
True,2117,IfcFaceOuterBound
True,2120,IfcFaceOuterBound
True,2123,IfcFaceOuterBound
True,2126,IfcFaceOuterBound
True,2129,IfcFaceOuterBound
True,2132,IfcFaceOuterBound
True,2135,IfcFaceOuterBound
True,2138,IfcFaceOuterBound
True,2141,IfcFaceOuterBound
True,2144,IfcFaceOuterBound
True,2147,IfcFaceOuterBound
True,2150,IfcFaceOuterBound
True,2153,IfcFaceOuterBound
True,2156,IfcFaceOuterBound
True,2159,IfcFaceOuterBound
True,2162,IfcFaceOuterBound
True,2165,IfcFaceOuterBound
True,2168,IfcFaceOuterBound
True,2171,IfcFaceOuterBound
True,2174,IfcFaceOuterBound
True,2177,IfcFaceOuterBound
True,2180,IfcFaceOuterBound
True,2183,IfcFaceOuterBound
True,2186,IfcFaceOuterBound
True,2189,IfcFaceOuterBound
True,2192,IfcFaceOuterBound
True,2195,IfcFaceOuterBound
